uniqueID,drugName,condition,review,rating,date,usefulCount
70808,Magnesium citrate,Constipation,"""Make sure you drink more than 8 ozs of water after taking the whole bottle.  LOTS OF WATER right after taking it..  You will need butt ointment, vinyl gloves, baby wipes, and garbage bags.  I had to take 3 bottles in 24 hrs  for the colonoscopy.  My butt was terribly raw,  I used cold pressed castor oil, but I heard A&amp;D ointment works good and prob won&#039;t be as oily..  It took 2 hrs to work with just 8 ozs of water, but would have worked sooner if I had taken 16 ozs of water.  The more water you drink the more it will work.  I bought lemon flavor at Big Lots, but I&#039;ve heard it comes in grape or cherry.""",10,17-Feb-17,16
214538,Tioconazole,Vaginal Yeast Infection,"""So, I&#039;ve had a yeast infection for two weeks thinking it would go away like the last one. I was completely wrong! My sister decided lets go to the grocery store last night. So, I was all for the trip just to get Monistat. Now, I&#039;ve tried the 7-day and 3-day. The seven day made my very uncomfortable I felt as though ants were down there, but the 3 day just didn&#039;t work. I&#039;ve got a diflucan but it didn&#039;t clear it. I told myself give Monistat one more time. I grabbed the 1-day off the shelf went home and used it around 9pm. Oh my gosh I have seen a complete improvement overnight. Thank you no more symptoms this morning.""",10,11-Apr-15,22
230576,Depo-Provera,Birth Control,"""I have been getting the shot since having my 3rd baby 17 months ago. Honestly, the 1st year was awesome! No periods, no mood swings, and no weight gain! Actually improved my moods and I lost all my baby weight right away. I was also breastfeeding at the time. As soon as I stopped when my son was 12 mos old, I guess the hormones in my body changed and reacted differently with the shot. I started bleeding for weeks at a time. I would bleed light to moderate for about 3-4 weeks and then stop for about 2 weeks and start up again. I&#039;ve now gained about 10-15 lbs. and I&#039;m starting to break out a bit and I never break out. Also my moods are definitely off. I can really feel the difference. Up and down all the time. It was great while it lasted!""",6,15-Apr-11,2
192374,Drospirenone / ethinyl estradiol,,"""I hate this birth control. I was originally taking Gianvi which I absolutely loved because I didn&#039;t gain ANY weight. My acne cleared up and I stayed slim. For some reason my pharmacy switched me to Nikki and in 2 months I went from 121 to 143. I am 5&#039;4 and I lift weights 5 days a week. I use to be defined/toned and now I&#039;m so bloated all the time I look fluffy and bulky. I do NOT like this birth control and my skin does not like it either!! :(""",4,13-Apr-15,8
187095,Safyral,Birth Control,"""So I&#039;ve been on this birth control for about three months. In the beginning I was hungry all the time and it really upset my stomach. After about three weeks that was gone and it was awesome. No babies. Easy periods almost no cramps it was too good to be true. Now here I am three months into the pill and I&#039;ve hit a horrible depression. I&#039;ve never been depressed. But everyday I cry and get so sad I can&#039;t go out and I don&#039;t want to eat or do anything. I&#039;ve diminished. So I&#039;ve decided to get off the pill immediately. I think I&#039;ll stick to the condoms. I would rather use condoms than be overwhelmingly sad all the time.""",5,12-Jul-15,2
165665,Levonorgestrel,Emergency Contraception,"""Me and my boyfriend did the deed on 3/10, the condom had broke. My period had just ended. We didn&#039;t realize until after when he was pulling out. We immediately began to panic. I took a quick rinse off shower (don&#039;t know if this is the best idea but oh well) after I rinsed off we went to the store and bought plan b. We went home right after and I took it. I was feeling really nervous about this whole thing. I began to read so many reviews. On 3/14 I began to bleed very heavily and had cramps that lasted for 6 days. I started having cramps, my breast hurt, and everything u can think. I was due 4/3. I took a test and it came back NEG. I was 12 days late before it finally came! It takes time but I promise everything will be okay in the end!""",10,20-Apr-17,2
131772,Effexor XR,Depression,"""Only the brand name version of Effexor works for me.  Luckily my medical insurance agreed with my doctor and authorized me to continue getting the brand name version.

I have found it to be very effective.  An Interesting &quot;good side effect&quot; is it helps with my serious face pain. A win win medicine.""",10,24-Dec-15,28
176098,Desyrel,Insomnia,"""I was taking regular Trazodone on and off for a couple of years, it stopped working so my doctor switched me to Desyrel. It&#039;s a good pill for the fact that it does make you tired, but I&#039;d make sure you&#039;re gonna get 8 or more hours of sleep before you take it. I was prescribed 100mg pills, and I only took half of a pill whenever I took it, and I had the hardest time waking up the next day. Also, with the reg Trazodone and with Desyrel, it took a long time for it to kick in for me (2  hours), but that might be because I have a high tolerance to pills. If you&#039;re new to this medicine, take it on the weekend, or whenever you can sleep in, so you can see how it works.""",6,7-Feb-12,26
103111,Glyburide,"Diabetes, Type 2","""I am taking 1/2 pill twice a day (5mg total) with Fortamet, the difference is amazing!""",9,10-Jul-13,11
214584,Escitalopram,Generalized Anxiety Disorde,"""First off let me start off by saying that I am only here because before I started this medication I lived and died by the reviews on here. As a matter of fact had it not been for the reviews I probably never would have taken the chance and been A LOT worse off. If your reading this you&rsquo;re probably at the point where you know you should take this medicine but anxiety is telling you it will harm or kill you. Don&rsquo;t listen to it. It&rsquo;s LYING. This medicine took me from being agoraphobic to attending rock concerts. It doesn&rsquo;t work overnight and the side effects DID suck but they were worth every single one. I have my life back and my only regret is that I waited so long to try. I started in May and by October I was basically a brand new person.""",10,25-Nov-17,6
58995,Aldesleukin,Renal Cell Carcinoma,"""I was diagnosed with Stage IV Renal Cell Carcinoma (RCC) in April 2009, and told by my primary care physician that my prognosis was approximately 6-9 months, perhaps a year. I found an oncologist that specialized in RCC and was told that this was the only course of action that had the potential to cure, not just stall the progression of my cancer. After 3 courses, I have had a complete response - no detectable cancer for 6 months so far.""",10,13-Sep-10,13
201473,Zoloft,Social Anxiety Disorde,"""No terrible side effects a side from severe headaches when I miss a dose. Completely regulated my anxiety and mood.""",8,24-Feb-15,47
186353,Desvenlafaxine,Depression,"""Have developed visual problems, thinning hair on top of my head, insomnia, and loss of sexual interest.""",3,15-Jan-12,7
165767,Levonorgestrel,,"""I&#039;ve never had kids and I am 32 fyi. The insertion was the most pain I&#039;ve ever felt in my life I almost passed out. For the first 3 months I bled everyday and had pretty bad cramps. I am at month 6 now and the cramps are maybe a few times a month. I still spot but its very light and I am not getting my period anymore. It had also helped with the endometriosis. Overall i am satisfied.""",7,3-Apr-17,0
192633,Drospirenone / ethinyl estradiol,Birth Control,"""I switched to Gianvi from Aviane in hopes of clearing up my acne. I was VERY excited because Yaz is supposed to be a miracle. My experience was far from a miracle. My skin did not clear up AT ALL, and got worse. I&#039;m a freaking irrational hothead all month. I&#039;m usually very good at shrugging off the small stuff, but it&#039;s like I have absolutely no control over my emotions anymore. I&#039;ve become very lethargic; I could sleep all day if you&#039;d let me. My once raging sex drive is now hardly existent. On the bright side, it did work strictly as birth control (hence the 4 rating). I&#039;ve already made an appointment to switch.""",4,17-Jan-12,7
165109,Phentermine / topiramate,Obesity,"""I am 60 yo male starting weight 297lbs. Since January 1, 2014, I am now at 225lbs.
I no longer take blood pressure medicine, cholesterol medicine, and asthma inhaler. I also have MS. This is the best treatment for a new lease on life. I will continue on till I hit my goal weight of 195lbs. I have been a vegetarian for the past 28 years of my life.""",10,29-May-14,48
205428,Pristiq,Major Depressive Disorde,"""Worked to begin with and then after a while stopped working""",3,9-Apr-15,11
229587,Lurasidone,Bipolar Disorde,"""I&#039;m one of those unlucky people that doesn&#039;t really respond to antidepressants, so I need an antipsychotic to stabilize my mood.  I was on Seroquel for a many years but switched after the negative effects of my memory and concentration, which ended up being not so subtle; weight gain and oversleeping came a little while after as well, so I found it was time to switch. This is my best try so far after Seroquel, but that&#039;s not saying much.  Having to take this with food   needing to go to sleep pretty much Right After or else getting lost in a paranoid/anxious frenzy/limbo-type state is really quite challenging. I also get tired pretty early which I believe is due to the half-life of the medication (18 hours or so)""",5,5-Jul-15,0
31465,Miconazole,Vaginal Yeast Infection,"""I wish I read the earlier reviews to prepare myself. Oh my goodness this itches quite a bit,  is that seriously wrong?  Cause I know hydrogen peroxide itches and burns when it&#039;s cleaning a cut maybe that&#039;s the same thing.... I havent tried the itch cream that comes with it but that&#039;s for external use and the itching is internal with warnings on the box not to scratch. Gonna be a rough night.""",3,21-Apr-16,3
136044,Acamprosate,Alcohol Dependence,"""I had been a bad binge drinker for the last nine years. Going on benders ranging from 5 days to at worse 2 and a half weeks. I could remain abstinent for anything from 1 month to 8 months but always relapsed eventually. 4 hospital detoxes, countless home ones and very ill heavy drinking. Had a warning that my liver had early stage of chirrosiss so that scared me enough to try Campral. 6 a day, been on it a month now complete abstinence and generally feel, marvelous with no cravings or thoughts. So far so good. I&#039;m sleeping great and feel calm and more balanced.""",10,25-Oct-10,62
10545,Spironolactone,Acne,"""I went off the birth control pill at age 38 (after being on for almost 20 years) and within 2 months my skin went crazy. I started experiencing bad cystic acne to the point I had no less than 10 bumps at once and was spending a lot of time and money at the dermatologist on injections. I had never had a cyst before--just typical teen acne breakouts in high school and college. It was painful and I felt embarrassed to go anywhere in public. My self esteem plummeted. After 3 months my dermatologist recommended spironolactone. I started at 200 mg and within a month my face was totally clear. After 6 months I went down to 150, then another 6 months down to 100, which is the dosage I still take 2 years later. Best medication ever!""",10,12-Jan-15,82
180154,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,"""This is my 4th pregnancy.  I&#039;ve always had bad morning sickness with each pregnancy but always ended by my 10th week.  I started the Rx at 7 weeks and tried stopping at 13 weeks but experience terrible withdrawal symptoms. I only take 1 pill at night. When I tried stopping the med,  I violently throw up, nauseous all day, body aches and excessive sweating.  I would have never started the prescription if I knew stopping it is this painful.""",3,18-Jan-17,6
53409,Demerol,Pain,"""I was given Demorol for pain in the ER about (3)days ago for terrible menstrual cramps and I can say it is definitely a 10 for pain, but the side effects are not the best. I have been drowsy, thirsty, and still a little dizzy, but I guess it depends on the individual.""",10,15-Sep-09,32
37326,Vyvanse,Binge Eating Disorde,"""Have taken 30mg daily since mid July. Up until this week I have been very pleased at how effectively it has stopped my binge eating. However this week it has prevented me from sleeping at night for 4 nights straight. Scary. Not sure how to stop taking it safely.""",8,15-Oct-15,18
230601,Depo-Provera,Birth Control,"""I have been using this method of Birth Control for over ten years now, I am hesitant to change to another form. I have not had a period since starting Depo and never had a pregnancy scare. I have gained weight while on the shot but it could be just my eating habits and lack of exercise! I would recommend this form of birth control for anyone who cannot remember to take a pill or who does not want to worry about getting pregnant. Once every three months is easy to do and I have never been happier with any form of birth control.""",10,5-Sep-11,3
5486,Sovaldi,Hepatitis C,"""I got this medicine last month, and am now start to getting good results.""",9,11-Jan-16,9
64109,Sertraline,Depression,"""I&#039;ve had depression on and off for years but more recently have felt worse. Having tried various antidepressants my Dr prescribed 50mg of sertraline. I started it a few days ago and have noticed that I have no appetite. I sleep for only a few hours a night. But it&#039;s early days..""",3,28-Apr-17,12
70424,Motrin IB,Back Pain,"""Effective in reducing discomfort""",9,10-Jun-09,20
66458,Valacyclovir,Cold Sores,"""Valtrex is fantastic if used correctly for cold sores.  For adults the dose is 2 grams at first symptom of a cold sore, followed by 2 grams 12 hours later.  That&#039;s it.  Now the key is getting that first dose right when you feel the first symptom (tingling, burning, swelling etc.)  This medicine has worked great for me and usually prevents the sore from breaking the skin, thus no one even knowing I was getting a cold sore.  Anyone who gets cold sores knows how awful they are and how long they take to heal.  I have not had as much success with acyclovir.

Be sure you always have some Valtrex on hand.  If you wait until you get a cold sore before calling the doctor, it&#039;s probably too late, but take it anyway to reduce healing time.""",9,12-Nov-11,7
14420,Buprenorphine / naloxone,Opiate Dependence,"""This drug saved my life and my marriage!""",10,7-Aug-10,16
198057,Metoprolol,Heart Attack,"""I take metoprolol tartrate not metoprolol with hydrochlorthiazide, however I have noticed a marked frequency of urination and polyuria after starting this medication.  My doctor suspected a urinary tract infection (although I am not experiencing dysuria, fever, chills or having any other typical UTI symptoms).  Urinalysis was negative, prostate exam was negative, cystoscopy was negative.

The medicine is doing what it is supposed to be doing, but having to urinate every two hours around the clock is certainly interfering with my sleep.  I did find a reference on Drugs.com that said increased urination was a rarely encountered side effect of this drug, but my doctors insist it doesn&#039;t have that side effect and I have spent a fortune ruling out other conditions.""",5,23-May-11,14
205505,Pristiq,Depression,"""I am a 47 yo male who has been on 100mg of Pristiq for 2 years.  First on 50mg then increased.  I found I was sleepy for the first few months but nothing compared to the original symptoms like depression, anxiety etc.  My only concern is the withdrawal effects.  On one occasion, I went to Pharmacy on Saturday and they advised I needed a new script.  I had to wait until Monday to get a script and they were the two worst days in my life....the withdrawal was chaotic, I argued with the chemist in a rage....never done this before...I called them an hour later sobbing and apologising for my behavior, I had awful flashes in my eyes and headaches that made a migraine feel like party.....I was frantic at the doctor on the Monday morning""",7,10-Nov-13,81
120460,Montelukast,Asthma,"""This is a great medication with no side effects.""",9,3-Sep-09,7
221339,Dextromethorphan,Cough,"""Woke up in the middle of the night with a horrendous cough.  I decided to take the some cough medicine and went back to sleep.  It stopped the cough. Then I woke up in my own excrement (seriously), severe diarrhea. Heart palpitations, extreme dizziness, sweating and confusion. I almost went to the emergency room. I will never take this again.""",2,25-Oct-16,10
171255,Levitra,Erectile Dysfunction,"""I took the 20 mg dosage.  I was able to get about a 50% erection.  However, I got hives mainly on the backs of my upper legs and the back of my head.""",4,14-Sep-17,2
195055,Restoril,Insomnia,"""Due to major anxiety and stress can&#039;t sleep before 6-7:30am was put on anti-anxiety pill and Restoril today.  The anti-anxiety pill kicked in fast and made me kinda drowsy but the Restoril 30mg I just took 45 min ago doesn&#039;t seem to be kicking in.  

Should I take another?  I do drink ale here and there but that should increase my effect not stop it right?  
Maybe I should get used to Vampire hours!! This sucks lol""",1,6-Jun-15,23
75416,Azathioprine,Autoimmune Hepatitis,"""I&#039;ve been taking imuran for 18 years also prednisone 

Stopped prednisone 3 years ago. And started on alluropinal with Imuran

For last 3 years. Have now  stopped alluropinal because I&#039;ve got urticaria they think it&#039;s alluropinal . This has been for 6 weeks just started it again  2 days ago and rash back very painful. Not sure what I will take with imuran now if anything. Don&#039;t understand. Also take Lipitor Zoloft 

I&#039;m a diabetic also and take metforam and insulin nova rapid and lantus.

Also aspirin. I&#039;m 50 this year and it&#039;s worrying""",10,14-Mar-16,10
179764,Adapalene / benzoyl peroxide,Acne,"""I always had clear skin but then started getting breakouts on my cheeks and thought epiduo would help. Two weeks into it my forehead began to breakout horribly, and my cheeks remained the same. I stayed on it for 2 months and my forehead got continually worse and when on epiduo breakouts would not heal and left red scarring. A week ago I gave up and quit epiduo. MY FOREHEAD IS CLEAR and the marks are fading faster. My cheeks are still the same but I can live with my skin again. My skin hated epiduo and it only gave me more acne. If you can live with skin as is do not go on epiduo. It may eventually get better but you will go through hell first.""",2,12-Jan-16,1
210167,Linzess,"Constipation, Chronic","""Took Linzess for one month. Side effect is diarrhea so I stayed close to bathroom. Diarrhea tapered off. On day 31 diarrhea hit hard all day. I don&#039;t like the severe diarrhea. I skipped one dose and bowel movement was normal.""",10,24-Feb-17,25
194809,Levetiracetam,Seizures,"""First I had partial seizures (after head injury in 2004) and after grand mal 2014 I almost died because of status epilepticus. After that I am on Keppra 1000mg a day (500mg morning, 500mg evening) for 2 years now. First month or two I had headache and double vision, sometimes I was a bit aggressive 
but after few months it was ok. For me it is good medicine, now i have 10 petit mals a year and I think that bad-heavy weather changes is causing them. 
I want to tell you, that after first or second month side effects went away. For me it is important, that I take Keppra with good meal in morning and evening. It is good medicine, just do not give up. 
Love you all.""",9,7-Dec-16,28
221626,Ziana,Acne,"""This medicine is amazing. After suffering from pretty bad acne and trying every topical product out there (benzoyl peroxide, salicylic acid, tea tree oil, sulfur masks, etc.), I had pretty much given up all hope of clear skin. I started Ziana and saw no immediate results, but kept applying every night. A month later, my acne was significantly reduced. Two months later... I only have two small pimples that are in the stage of drying up. I highly recommend Ziana; it seems to be gentle on the skin. Keep with it! The results are amazing. I&#039;m so much more confident. Good luck! P.S. I used in combination with doxycycline, which seems to significantly improve results.""",10,24-Apr-12,30
145956,Suboxone,Opiate Dependence,"""I&#039;m thinking back to 2006 when I was first put on this drug by a doc. They promised me that it wasn&#039;t like methadone... They promised me ZERO withdrawal... &quot;It&#039;s not addictive,&quot; the docs said. They started me out on 24 mgs a day. What a joke. 
Here I sit, ELEVEN YEARS later... Still hooked on this soul stealer. 
I am once again trying to stop on my own. It&#039;s been 48 hrs since my last dose of .5 mgs or maybe a bit less. Idk if I&#039;m going to make it, but I want to. I want a chance to actually live my life. I&#039;m 36 and I don&#039;t have any children. I wanted to have children... but felt it was irresponsible to get pregnant while hooked on subs. I hope it&#039;s not too late. 
The only good thing is that it kept me off the streets""",5,29-May-17,19
110030,Nexplanon,Birth Control,"""I got nexplanon February 2015 at first my period was every 2 month which I loved. They are normal now. December 2015 I started gaining weight which I thought was just holiday so January I started exercising and lost 15 of the 30 pounds since I gained 10 back and and can&#039;t lose anything I diet exercise when ever my boyfriends not looking (I don&#039;t feel comfortable in front of him) and he&#039;s noticed the weight we got in a fight and he actually slipped up and called me fat. And said all I do is sit on my ass that&#039;s why I gained it. But I also got so depressed and cried over everything panic attacks every day and thought of self harm. The depression is gone now for the weight. I like it would give 10 stars except the depression and weight.""",9,5-May-16,2
135690,Tinidazole,Bacterial Vaginitis,"""I&#039;ve been on 500 mg twice a day for two days. I&#039;m supposed to take it for three more days. SEVERE side effects. I have extreme weakness, numbness in my left hand/arm, body aches, now severe pelvic pain, which I&#039;m hoping is just a Yeast Infection, nausea, food tastes weird, I can only drink water with lemon because it makes the water taste metallic, severe fatigue. 
My doctor has been trying everything for Bacterial Vaginitis on and off for the past year, and especially the past 6 months. I know this will work (as Flagyl did in the past), I&#039;m just hoping the side effects go away.""",5,31-Aug-14,12
115272,Diazepam,Not Listed / Othe,"""I was prescribed valium for tension headaches. I have severe migraines and tension headaches. They could not find out exactly why I was having them, so we have to treat the symptom. Valium actually makes me able to function through some of the worst tension headaches. Before, I was spending so much time locked in a dark room between the migraines and tension headaches. I was missing my life and the lives of my children. It is really nice to be able to have a part in their lives and my own. I am thankful daily that I can rejoin the world again.""",10,2-Apr-09,9
10485,Spironolactone,Acne,"""I was a sufferer real bad of adult acne on my back, chest and chin, and this was the only thing that worked for me. Unfortunately I suffered a drug reaction from it that left my lower extremities (rectal itch, etc) that kept me up all night....it was horrible and it took a few months for it to subside with a lower dosage and antihistamines. Lower dosage worked better but it did eventually did damage to my kidneys which is a risk side affect of taking this drug. So be aware if you have weak kidneys DO NOT take this drug!""",9,17-Apr-16,7
170238,Quetiapine,Bipolar Disorde,"""I am currently on 50mg of Seroquel in addition to other meds. It has certainly made a huge positive difference in my paranoid thinking and obsessive-compulsive spartanism. It has leveled out my wild swings between anxiety and depression somewhat. It works great on my insomnia too. It causes me constipation and aggravates my essential tremor, but its benefits are well worth the price. I have not yet experienced the increase in appetite it&#039;s known for.""",9,17-Aug-16,23
113665,Acetaminophen / butalbital / caffeine,Headache,"""I have tried just about every option available and this medication has been the only one to truly relieve my headache AND allow me to feel &quot;normal&quot; so that I am able to function.  """,10,12-Jan-09,30
14924,Ethinyl estradiol / norethindrone,Birth Control,"""My doctor suggested that I take birth control so I decided to try out the pills first. She prescribed me lo loestrin Fe and I took it for about 3 months before I decided to throw them away. My acne became really horrible! I had never had cystic acne in my life. My skin has still not cleared up which is a real bummer and I&#039;m pretty sure I&#039;m going to remain with scars. Overall it did its job at preventing pregnancy. My period spotted for a few days the first month and I didn&#039;t have a period the remaining months. It was really great without period pains also. I am now going to try an implant and change the hormonal balances to tray and clear my skin ugh!!""",5,11-Sep-17,2
223117,Estradiol,Postmenopausal Symptoms,"""Great experience with Femring and it&#039;s the only hormone replacement that works for me. Wishing it was not so expensive.""",10,20-Feb-16,11
106073,Gabapentin,ibromyalgia,"""It honestly helps a lot for my nerve pain, I get it super bad in my arms and It helps so much. I only notice the pain if I don&#039;t take it. I take right now 900 ml. I would be in so much more pain without this. It&#039;s a blessing. Also I for some reason never get tired from this. I never get tired or anything and can take it in the morning if I forget. It does nothing for my insomnia. Idk if I have a rare reaction to it or what, but my doctor finds it funny. Ha ha""",9,17-May-16,43
188723,ParaGard,Birth Control,"""I just got paragard not too long ago. And it was actually not as bad as I thought it would be. There was not excruciating pain at all. Just cramping. Anyone wanting to get it should most definitely do so. It&#039;s not as bad as some may say, but everyone reacts to things differently.""",10,24-Jun-15,7
115374,Propofol,Anesthesia,"""Had this for IVF egg collection.  I was so anxious reading that sedation you can be awake and it Can be painful. Boy was I wrong.  I was under for 10 mins and woke up as though I have had the best sleep in the world no dreams,  nada. I woke up feeling amazing.  I had the equivalent of 2 paracetamol whilst under and have needed no other pain relief since the procedure. I feel better Than I have felt in a very long time.  I think propaganda must have some really good anti anxiotic purpose for sure. I am now 24 hrs past procedure and still feel fab. Wonderful stuff!!!""",10,16-Apr-16,9
199475,Depo-Provera,Birth Control,"""I am 21 years old and have been on Depo-Provera for almost two years while in a four year committed relationship. My doctor recommended Depo-Provera for me because I suffer from chronic migraines so any birth control with a high level of estrogen would most definitely make my migraines worse. So far, I have to say I am pleased with my experience while on the depo shot. The side effects I have experienced have thankfully been able to be fixed/altered. Such as slight weight gain which I help to control with diet and exercise. Loss of sex drive which my longtime boyfriend is more than happy to help with. And I tend to start spotting around the time that my next shot is due. Once I receive the depo shot, within hours the spotting stops.""",9,6-Mar-15,1
66036,Propranolol,mance Anxiety,"""My dad always raved about how wonderful this medicine is for speech anxiety and I am finishing up my bachelors degree.. Needless to say I put my &#039;Public Speaking&#039; course until my last semester.. I took 20mgs an hour before my speech and did I nail it!! I wasn&#039;t nervous at all.. And I usually feel like I&#039;m going to puke before a presentation! This is a miracle for me and I will definitely take it again for speeches later on! Would highly recommend to anyone with &quot;stage fright&quot; or fearful of talking in front of others!""",10,23-Oct-14,59
179979,Adapalene / benzoyl peroxide,Acne,"""I&#039;m currently using Epiduo and have been for only the past few weeks. Although I have experienced the burning, stinging, redness and dry skin on my face I am already noticing an extreme difference in my acne, it has decreased an astonishing amount and has been the most effective treatment I have used yet. I highly recommend using the gel!""",9,12-Mar-14,27
16674,Yaz,Menstrual Disorders,"""My daughter had severe PMDD. She is 13. At first I was hesitant about putting my 13 yr old daughter on birth control because of the social stigma that she may be considered &quot;easy&quot; or sexually active because she is on Birth Control. Yet, she and I talked about it and she is a very level headed conservative girl who needed help and wanted to try. This medicine has been God send for her and her PMDD. He periods are lighter, not as lengthy and there is minimal pain associated with her periods now. Not to mention her mood and anxiety levels have both improved more than I can mention. This medicine has made her feel &quot;normal&quot; again!""",8,1-Oct-09,8
35120,Levofloxacin,Pneumonia,"""Took levofloxin for pneumonia and cleared up quick. Within 2 months my achilles was sore everyday. Made an appointment with a podiatrist for Nov 17th. Achilles snapped on Nov 14th. Surgery went well to repair shredded achilles. In cast for 3 months. Since sore after 3 months on my feet and working. I nurse it everyday. Avoid this drug, if possible. Not worth the side effects.""",1,27-May-16,4
169001,Vilazodone,Depression,"""Have been on this almost 2 weeks. It&#039;s still early and I think my body is still adjusting a little bit, but I feel much, much better. It&#039;s like I can&#039;t even remember what I was so anxious and depressed about. I have more energy, I&#039;m not fixating on negative things and my body aches and pains are gone. I have some injuries that have been lingering for a long time, and I just woke up the other day and the knots and soreness was gone. It&#039;s like my whole body has learned to relax over night. I&#039;ve lost some weight and my appetite has been a bit suppressed, though I think that&#039;s something that will go away with time.  Also randomly I feel at times like I am having an adrenaline rush for no reason, but its a small prices to pay for the pay off.""",10,22-Jun-12,25
157670,Accutane,Acne,"""I&#039;ve already commented before I just wanted everyone to know I&#039;m off roacutane now. It&#039;s been just over a month and having my final check up soon. So happy with the results honestly. I feel so much more confident and happy it was worth every side effect. for the first time in 8 years(I&#039;m 18) I now can go out of the house without makeup on. And I&#039;m not exaggerating. I&#039;m so happy and I honestly think anyone with bad skin should try this honestly it&#039;s so worth it""",10,11-May-16,28
225775,Bupropion,Depression,"""Saved my life.""",10,5-Aug-12,41
68412,Nalbuphine,Pain,"""Nubain, phenergan,  and zofran cocktail is typically quite effective in treating my migraines,  when nothing else does.   I have chronic migraine and an arsenal of weapons to combat them.   When all else fails for 3+days,  I head out for this cocktail injection.   It makes me very sleepy but pain diminishes significantly.""",7,19-May-16,1
28898,Lexapro,Depression,"""I have been on Lexapro once daily in the morning since 2006. I took it in 2004 but had to stop when I got pregnant. I suffer from cyclothymia, which is a bipolar spectrum disorder that includes chronic depression, anxiety, mood swings and irritability. Lexapro is a great medicine for those who it works for. Little side effects. I currently take 30mg Lexapro. I started taking Wellbutrin SR 100mg about 5 months ago to help me with my loss of motivation and inability to get out of bed in the morning (I want to sleep a lot). I still have some irritability and mood swings so my doctor gave me Seroquel XR 50mg to try 3 hours prior to bedtime beginning tonight.""",10,14-Jul-09,13
170146,Quetiapine,Generalized Anxiety Disorde,"""Started a week ago and haven&#039;t had a panic attack or episode since""",9,10-Apr-17,25
57137,MiraLax,"Constipation, Acute","""I had been suffering from severe constipation that couldn&#039;t be cured even with laxatives for 2 weeks until my doctor recommended Miralax. I took it with no real progress for 3 days, but on the 4th day I finally started having normal bowel movements! I did not experience any side effects whatsoever as you do with laxatives. (No diarrhea, gas, bloating, sudden urgency, etc.). I finally had complete relief! Also, I mixed Miralax with cranberry juice. It had virtually no taste and dissolves completely. I highly recommend this to anyone suffering from constipation.""",10,13-Jun-11,142
